sentenceID,sentence,origin,destination,is_valid,difficulty,category,notes
1,Comment se rendre à Annecy si on part de Brest,Brest,Annecy,1,medium,inverted_order,
2,Quel jour sommes-nous ?,,,0,easy,no_intent,general_questions
3,Avec mon ami Florence je voudrais aller de Annecy à Saint-Étienne,Annecy,Saint-Étienne,1,medium,name_ambiguity,Florence=prénom
4,Je cherche un train de Brest à Toulouse,Brest,Toulouse,1,easy,standard,
5,Vers Le Havre,,,0,easy,incomplete_origin,missing origin
6,J'ai raté mon train !,,,0,easy,no_intent,train_discussion
7,Je dois rejoindre Lourdes à Le Mans depuis Saint-Étienne,Saint-Étienne,Le Mans,1,medium,name_ambiguity,Lourdes=prénom
8,Comment aller a Nisse depuis Marceille,Marseille,Nice,1,hard,misspelling,spelling errors
9,Un billet Le Havre Saint-Étienne,Le Havre,Saint-Étienne,1,easy,no_markers,
10,"avec mes amis rémy et clément, je voudrais aller de aix-en-provence à angers",Aix-en-Provence,Angers,1,hard,name_ambiguity,"Rémy/Clément=prénoms, lowercase"
11,Pour Le Havre ?,,,0,easy,incomplete_origin,missing origin
12,En direction de Strasbourg,,,0,easy,incomplete_origin,missing origin
13,Train pour Toulouse Bordeaux et Lille,,,0,medium,ambiguous,too many cities
14,Marseille Angers ce soir,Marseille,Angers,1,medium,no_markers,
15,Comment se rendre à Nice si on part de Brest,Brest,Nice,1,medium,inverted_order,
16,Comment aller a Perpigna depuis Le  Havre,Le Havre,Perpignan,1,hard,misspelling,spelling errors
17,arrivant de angers,,,0,easy,incomplete_dest,missing destination
18,De Lille vers Saint Étienne,Lille,Saint-Étienne,1,medium,compound_name,compound name no hyphen
19,un billet pour toulouse,,,0,easy,incomplete_origin,missing origin
20,En partant de Toulouse,,,0,easy,incomplete_dest,missing destination
21,Cap sur Toulouse depuis Rennes,Rennes,Toulouse,1,medium,inverted_order,
22,Je voudrais un bilet de Nice à Lile,Nice,Lille,1,hard,misspelling,spelling errors
23,Un billet Strasbourg Nîmes s'il vous plaît,Strasbourg,Nîmes,1,easy,standard,
24,Je vais de Nice à Bordeaux à Lyon,,,0,medium,ambiguous,too many cities
25,un train de villeurbanne a toulouse,Villeurbanne,Toulouse,1,medium,no_capitals,"lowercase, no accents"
26,Je veux aller à Brest en partant de Dijon,Dijon,Brest,1,medium,inverted_order,
27,Billet Marseille Nice Bordeaux,,,0,medium,ambiguous,too many cities
28,Combien coûte un billet de Angers à Saint-Étienne,Angers,Saint-Étienne,1,medium,additional_info,with time/passenger info
29,Quel est le temps de trajet de Nice à Strasbourg,Nice,Strasbourg,1,medium,standard,
30,Quand part le prochain train de Lille vers Tours,Lille,Tours,1,medium,standard,
31,Je veux aller à Dijon en partant de Perpignan,Perpignan,Dijon,1,medium,inverted_order,
32,La montagne c'est beau ?,,,0,easy,no_intent,off_topic
33,Cap sur Le Havre depuis Strasbourg,Strasbourg,Le Havre,1,medium,inverted_order,
34,Je souhaite me rendre à Le Havre depuis Grenoble,Grenoble,Le Havre,1,easy,standard,
35,Je souhaite me rendre à Montpellier,,,0,easy,incomplete_origin,missing origin
36,je voudrais un billet de lille a clermont-ferrand,Lille,Clermont-Ferrand,1,medium,no_capitals,"lowercase, no accents"
37,Comment aller à Port-Boulet depuis Rennes,Rennes,Port-Boulet,1,medium,compound_name,compound name
38,J'aimerais visiter Angers,,,0,easy,incomplete_origin,missing origin
39,Commen aler de Pari a Montpellie,Paris,Montpellier,1,hard,misspelling,spelling errors
40,Quel est le prix d'un billet de Strasbourg à Montpellier,Strasbourg,Montpellier,1,easy,standard,
41,bilet ammiens strasbour,Amiens,Strasbourg,1,hard,misspelling,spelling errors
42,zijytapus sibe furup,,,0,easy,garbage,random text
43,je voudrais un billet de le havre a paris,Le Havre,Paris,1,medium,no_capitals,"lowercase, no accents"
44,billet billet billet billet billet billet billet billet,,,0,easy,garbage,repetitions
45,je voyage avec lourdes et clément de marseille vers florence,Marseille,Florence,1,hard,name_ambiguity,"Lourdes/Clément=prénoms, lowercase"
46,123 @@@ voyage,,,0,easy,garbage,incoherent mix
47,Je veux aller de Bordeaus à Amieens,Bordeaux,Amiens,1,hard,misspelling,spelling errors
48,Départ Marseille,,,0,easy,incomplete_dest,missing destination
49,Je cherche un train de Montpellier à Le Havre,Montpellier,Le Havre,1,easy,standard,
50,Rennes Marseille Montpellier Nantes,,,0,medium,ambiguous,too many cities
51,Billet Toulouse Saint-Étienne,Toulouse,Saint-Étienne,1,medium,no_markers,
52,Vers Perpignan au départ de Toulouse,Toulouse,Perpignan,1,medium,inverted_order,
53,Trajet de Toulouse vers Montpellier,Toulouse,Montpellier,1,easy,standard,
